Date,Action,Price,PnL
2013-03-11,Buy,51.4,
2013-03-25,Sell,52.24,0.8400000000000034
2013-05-06,Buy,55.17,
2013-05-08,Exit (Stop/TP),52.49,-2.6799999999999997
2013-05-14,Buy,58.01,
2013-05-20,Exit (Stop/TP),62.63,4.6200000000000045
2013-05-20,Buy,62.63,
2013-06-03,Sell,62.06,-0.5700000000000003
2013-07-25,Buy,71.1,
2013-07-26,Exit (Stop/TP),73.95,2.8500000000000085
2013-07-26,Buy,73.95,
2013-08-05,Exit (Stop/TP),78.01,4.060000000000002
2013-08-05,Buy,78.01,
2013-08-12,Exit (Stop/TP),81.26,3.25
2013-08-12,Buy,81.26,
2013-08-14,Exit (Stop/TP),73.55,-7.710000000000008
2013-10-01,Buy,78.5,
2013-10-07,Exit (Stop/TP),75.85,-2.6500000000000057
2013-10-28,Buy,77.79,
2013-10-29,Exit (Stop/TP),82.26,4.469999999999999
2013-10-29,Buy,82.26,
2013-10-30,Exit (Stop/TP),80.22,-2.0400000000000063
2013-10-30,Buy,80.22,
2013-11-04,Exit (Stop/TP),88.22,8.0
2013-11-04,Buy,88.22,
2013-11-07,Exit (Stop/TP),83.88,-4.340000000000003
2013-11-07,Buy,83.88,
2013-11-13,Exit (Stop/TP),87.488,3.608000000000004
2013-11-13,Buy,87.488,
2013-11-25,Sell,86.61,-0.8780000000000001
2014-01-08,Buy,85.15,
2014-01-21,Exit (Stop/TP),81.5,-3.6500000000000057
2014-02-06,Buy,77.14,
2014-02-07,Exit (Stop/TP),84.45,7.310000000000002
2014-02-07,Buy,84.45,
2014-02-12,Exit (Stop/TP),90.27,5.819999999999993
2014-02-12,Buy,90.27,
2014-02-20,Exit (Stop/TP),96.8,6.530000000000001
2014-02-20,Buy,96.8,
2014-02-25,Exit (Stop/TP),101.04,4.240000000000009
2014-02-25,Buy,101.04,
2014-03-04,Exit (Stop/TP),106.89,5.849999999999994
2014-03-04,Buy,106.89,
2014-03-11,Exit (Stop/TP),104.73,-2.1599999999999966
2014-03-11,Buy,104.73,
2014-03-13,Sell,103.21,-1.5200000000000102
2014-05-01,Buy,83.5,
2014-05-06,Exit (Stop/TP),81.37,-2.1299999999999955
2014-05-07,Buy,83.99,
2014-05-12,Exit (Stop/TP),89.51,5.52000000000001
2014-05-12,Buy,89.51,
2014-05-13,Exit (Stop/TP),86.09,-3.4200000000000017
2014-05-13,Buy,86.09,
2014-05-14,Exit (Stop/TP),84.19,-1.9000000000000057
2014-05-19,Buy,86.41,
2014-05-22,Exit (Stop/TP),91.01,4.6000000000000085
2014-05-22,Buy,91.01,
2014-05-27,Exit (Stop/TP),95.42,4.409999999999997
2014-05-27,Buy,95.42,
2014-06-04,Exit (Stop/TP),99.35,3.9299999999999926
2014-06-04,Buy,99.35,
2014-06-06,Exit (Stop/TP),104.05,4.700000000000003
2014-06-06,Buy,104.05,
2014-06-12,Exit (Stop/TP),101.72,-2.3299999999999983
2014-06-12,Buy,101.72,
2014-06-19,Sell,102.98,1.2600000000000051
2014-08-18,Buy,97.96,
2014-08-22,Exit (Stop/TP),101.99,4.030000000000001
2014-08-22,Buy,101.99,
2014-08-28,Exit (Stop/TP),99.37,-2.6199999999999903
2014-10-21,Buy,88.085,
2014-10-22,Exit (Stop/TP),85.92,-2.164999999999992
2014-10-22,Buy,85.92,
2014-11-04,Exit (Stop/TP),83.79,-2.1299999999999955
2014-11-19,Buy,71.4,
2014-12-02,Exit (Stop/TP),76.68,5.280000000000001
2014-12-02,Buy,76.68,
2014-12-08,Exit (Stop/TP),74.0,-2.680000000000007
2014-12-18,Buy,75.07,
2015-01-05,Exit (Stop/TP),72.73,-2.339999999999989
2015-02-04,Buy,71.18,
2015-02-06,Exit (Stop/TP),68.58,-2.6000000000000085
2015-02-10,Buy,69.98,
2015-02-11,Exit (Stop/TP),67.27,-2.710000000000008
2015-02-12,Buy,82.4,
2015-02-19,Exit (Stop/TP),88.66,6.259999999999991
2015-02-19,Buy,88.66,
2015-03-06,Exit (Stop/TP),85.7,-2.9599999999999937
2015-04-13,Buy,83.52,
2015-04-17,Exit (Stop/TP),80.71,-2.8100000000000023
2015-05-14,Buy,82.16,
2015-05-20,Exit (Stop/TP),79.77,-2.3900000000000006
2015-06-17,Buy,87.65,
2015-06-29,Exit (Stop/TP),85.77,-1.8800000000000097
2015-07-17,Buy,92.18,
2015-07-24,Exit (Stop/TP),80.86,-11.320000000000007
2015-08-27,Buy,70.34,
2015-09-01,Exit (Stop/TP),68.19,-2.1500000000000057
2015-09-02,Buy,69.73,
2015-09-04,Exit (Stop/TP),67.21,-2.5200000000000102
2015-09-15,Buy,70.06,
2015-09-18,Exit (Stop/TP),68.64,-1.4200000000000017
2015-09-18,Buy,68.64,
2015-09-22,Exit (Stop/TP),67.2,-1.4399999999999977
2015-10-05,Buy,67.24,
2015-10-14,Exit (Stop/TP),83.72,16.480000000000004
2015-10-14,Buy,83.72,
2015-10-27,Exit (Stop/TP),81.76,-1.9599999999999937
2015-11-23,Buy,84.8,
2015-11-24,Exit (Stop/TP),82.98,-1.8199999999999932
2015-12-04,Buy,84.37,
2015-12-09,Exit (Stop/TP),82.41,-1.960000000000008
2016-02-16,Buy,63.32,
2016-02-23,Exit (Stop/TP),60.7,-2.6199999999999974
2016-03-01,Buy,66.1,
2016-03-08,Exit (Stop/TP),62.57,-3.529999999999994
2016-03-14,Buy,66.54,
2016-03-18,Exit (Stop/TP),64.31,-2.230000000000004
2016-03-21,Buy,65.71,
2016-03-22,Exit (Stop/TP),64.04,-1.6699999999999875
2016-03-31,Buy,66.5,
2016-04-04,Exit (Stop/TP),65.09,-1.4099999999999966
2016-04-04,Buy,65.09,
2016-04-07,Exit (Stop/TP),63.35,-1.740000000000002
2016-05-03,Buy,65.83,
2016-05-04,Exit (Stop/TP),63.13,-2.6999999999999957
2016-05-11,Buy,65.67,
2016-05-12,Exit (Stop/TP),63.78,-1.8900000000000006
2016-05-17,Buy,65.79,
2016-05-18,Exit (Stop/TP),64.17,-1.6200000000000045
2016-05-24,Buy,66.07,
2016-06-06,Exit (Stop/TP),71.46,5.390000000000001
2016-06-06,Buy,71.46,
2016-06-07,Exit (Stop/TP),68.63,-2.8299999999999983
2016-06-07,Buy,68.63,
2016-06-10,Exit (Stop/TP),67.22,-1.4099999999999966
2016-07-08,Buy,67.13,
2016-07-22,Exit (Stop/TP),70.09,2.960000000000008
2016-07-22,Buy,70.09,
2016-08-04,Exit (Stop/TP),63.59,-6.5
2016-08-17,Buy,62.05,
2016-09-19,Exit (Stop/TP),60.0,-2.049999999999997
2016-09-27,Buy,64.26,
2016-10-13,Exit (Stop/TP),62.24,-2.020000000000003
2016-11-22,Buy,51.34,
2016-11-28,Exit (Stop/TP),50.18,-1.1600000000000037
2016-12-09,Buy,49.23,
2016-12-14,Exit (Stop/TP),47.62,-1.6099999999999994
2016-12-20,Buy,48.79,
2016-12-21,Exit (Stop/TP),46.28,-2.509999999999998
2017-01-03,Buy,47.51,
2017-01-06,Exit (Stop/TP),50.77,3.260000000000005
2017-01-06,Buy,50.77,
2017-01-13,Exit (Stop/TP),52.92,2.1499999999999986
2017-01-13,Buy,52.92,
2017-01-20,Exit (Stop/TP),51.85,-1.0700000000000003
2017-01-24,Buy,52.13,
2017-02-16,Exit (Stop/TP),46.92,-5.210000000000001
2017-03-08,Buy,43.83,
2017-03-14,Exit (Stop/TP),42.26,-1.5700000000000003
2017-03-15,Buy,42.71,
2017-03-21,Exit (Stop/TP),41.71,-1.0
2017-03-24,Buy,42.69,
2017-04-04,Exit (Stop/TP),41.64,-1.0499999999999972
2017-04-25,Buy,43.65,
2017-05-02,Exit (Stop/TP),46.1,2.450000000000003
2017-05-02,Buy,46.1,
2017-05-03,Exit (Stop/TP),45.11,-0.990000000000002
2017-05-03,Buy,45.11,
2017-05-08,Exit (Stop/TP),47.03,1.9200000000000017
2017-05-08,Buy,47.03,
2017-05-11,Exit (Stop/TP),45.63,-1.3999999999999986
2017-06-28,Buy,38.14,
2017-07-06,Exit (Stop/TP),36.66,-1.480000000000004
2017-07-13,Buy,38.03,
2017-07-19,Exit (Stop/TP),39.6,1.5700000000000003
2017-07-19,Buy,39.6,
2017-07-20,Exit (Stop/TP),37.89,-1.7100000000000009
2017-07-20,Buy,37.89,
2017-08-04,Exit (Stop/TP),39.51,1.6199999999999974
2017-08-09,Buy,40.54,
2017-08-10,Exit (Stop/TP),39.71,-0.8299999999999983
2017-08-10,Buy,39.71,
2017-08-11,Exit (Stop/TP),42.18,2.469999999999999
2017-08-11,Buy,42.18,
2017-08-15,Exit (Stop/TP),40.66,-1.5200000000000031
2017-08-15,Buy,40.66,
2017-08-17,Exit (Stop/TP),39.21,-1.4499999999999957
2017-08-24,Buy,43.32,
2017-08-25,Exit (Stop/TP),41.72,-1.6000000000000014
2017-09-05,Buy,44.55,
2017-09-14,Exit (Stop/TP),42.97,-1.5799999999999983
2017-11-22,Buy,34.19,
2018-01-12,Exit (Stop/TP),36.54,2.3500000000000014
2018-02-06,Buy,40.84,
